0.5,1,0.99,0.7,0,0
0.5,1,0.99,0.5,0,0
0.5,1,0.98,0.7,0,0
0.5,1,0.98,0.5,0,0
0.5,2,0.99,0.7,0,0
0.5,2,0.99,0.5,0,0
0.5,2,0.98,0.7,0,0
0.5,2,0.98,0.5,0,0
0.5,0.5,0.99,0.7,0,0
0.5,0.5,0.99,0.5,0,0
0.5,0.5,0.98,0.7,0,0
0.5,0.5,0.98,0.5,0,0
1,1,0.99,0.7,0,0
1,1,0.99,0.5,0,0
1,1,0.98,0.7,0,0
1,1,0.98,0.5,0,0
1,2,0.99,0.7,0,0
1,2,0.99,0.5,0,0
1,2,0.98,0.7,0,0
1,2,0.98,0.5,0,0
1,0.5,0.99,0.7,0,0
1,0.5,0.99,0.5,0,0
1,0.5,0.98,0.7,0,0
1,0.5,0.98,0.5,0,0
0.25,1,0.99,0.7,0,0
0.25,1,0.99,0.5,0,0
0.25,1,0.98,0.7,0,0
0.25,1,0.98,0.5,0,0
0.25,2,0.99,0.7,0,0
0.25,2,0.99,0.5,0,0
0.25,2,0.98,0.7,0,0
0.25,2,0.98,0.5,0,0
0.25,0.5,0.99,0.7,0,0
0.25,0.5,0.99,0.5,0,0
0.25,0.5,0.98,0.7,0,0
0.25,0.5,0.98,0.5,0,0
