sim 	ve 	vg 	re 	rg 	x 	vx 	vd 	vi 	ce1 	cd1 	ce2 	cd2 	cb2 	bmvar 
45	1.000	1.000	0.990	0.500	15.000	0.000	0.000	0.000	-24.626	36.692	-0.000	0.480	-0.019	25.632
46	1.000	1.000	0.990	0.900	15.000	0.000	0.000	0.000	-24.626	46.542	-0.000	0.865	-0.019	25.709
47	1.000	1.000	0.980	0.500	15.000	0.000	0.000	0.000	-16.279	24.092	-0.000	0.471	-0.028	17.288
48	1.000	1.000	0.980	0.900	15.000	0.000	0.000	0.000	-16.279	30.604	-0.000	0.848	-0.028	17.401
49	1.000	1.100	0.990	0.500	15.000	0.000	0.001	0.015	-26.185	37.456	-0.029	0.495	-0.020	25.662
50	1.000	1.100	0.990	0.900	15.000	0.000	0.006	0.018	-26.574	46.718	-0.037	0.868	-0.019	25.755
51	1.000	1.100	0.980	0.500	15.000	0.000	0.000	0.004	-17.128	24.500	-0.009	0.474	-0.030	17.319
52	1.000	1.100	0.980	0.900	15.000	0.000	0.000	0.005	-17.204	30.678	-0.011	0.847	-0.030	17.444
53	1.000	1.400	0.990	0.500	15.000	0.000	0.045	0.082	-30.760	39.698	-0.174	0.567	-0.017	25.800
54	1.000	1.400	0.990	0.900	15.000	0.000	0.200	0.101	-32.544	47.255	-0.207	0.886	-0.016	26.089
55	1.000	1.400	0.980	0.500	15.000	0.000	0.034	0.074	-20.191	25.970	-0.155	0.546	-0.026	17.395
56	1.000	1.400	0.980	0.900	15.000	0.000	0.137	0.090	-21.251	31.001	-0.186	0.865	-0.025	17.621
57	1.000	1.600	0.990	0.500	15.000	0.000	0.094	0.112	-32.946	40.769	-0.244	0.602	-0.016	25.937
58	1.000	1.600	0.990	0.900	15.000	0.000	0.403	0.136	-35.143	47.489	-0.284	0.894	-0.015	26.360
59	1.000	1.600	0.980	0.500	15.000	0.000	0.078	0.105	-21.659	26.675	-0.227	0.582	-0.024	17.470
60	1.000	1.600	0.980	0.900	15.000	0.000	0.297	0.126	-23.022	31.143	-0.265	0.873	-0.023	17.764
61	1.000	1.800	0.990	0.500	15.000	0.000	0.149	0.136	-34.682	41.620	-0.300	0.630	-0.015	26.092
62	1.000	1.800	0.990	0.900	15.000	0.000	0.626	0.163	-37.104	47.665	-0.344	0.901	-0.014	26.619
63	1.000	1.800	0.980	0.500	15.000	0.000	0.128	0.128	-22.826	27.235	-0.284	0.610	-0.023	17.557
64	1.000	1.800	0.980	0.900	15.000	0.000	0.475	0.152	-24.362	31.250	-0.328	0.880	-0.022	17.898
65	1.000	2.000	0.990	0.500	15.000	0.000	0.209	0.155	-36.091	42.310	-0.346	0.653	-0.014	26.255
66	1.000	2.000	0.990	0.900	15.000	0.000	0.857	0.183	-38.634	47.803	-0.392	0.906	-0.013	26.852
67	1.000	2.000	0.980	0.500	15.000	0.000	0.183	0.147	-23.774	27.690	-0.331	0.633	-0.022	17.648
68	1.000	2.000	0.980	0.900	15.000	0.000	0.659	0.172	-25.408	31.334	-0.379	0.885	-0.021	18.015
69	1.000	3.000	0.990	0.500	15.000	0.000	0.515	0.212	-40.418	44.430	-0.493	0.726	-0.011	27.037
70	1.000	3.000	0.990	0.900	15.000	0.000	1.951	0.238	-42.981	48.194	-0.544	0.921	-0.011	27.624
71	1.000	3.000	0.980	0.500	15.000	0.000	0.464	0.203	-26.689	29.089	-0.481	0.707	-0.018	18.086
72	1.000	3.000	0.980	0.900	15.000	0.000	1.513	0.222	-28.373	31.571	-0.538	0.899	-0.019	18.373
73	1.000	1.200	0.990	0.500	5.000	100.000	0.010	0.041	-27.930	38.312	-0.085	0.522	-0.019	27.573
74	1.000	1.200	0.990	0.900	5.000	100.000	0.046	0.051	-28.947	46.931	-0.104	0.875	-0.018	27.709
75	1.000	1.200	0.980	0.500	5.000	100.000	0.006	0.032	-18.295	25.060	-0.064	0.502	-0.029	20.015
76	1.000	1.200	0.980	0.900	5.000	100.000	0.023	0.039	-18.808	30.806	-0.079	0.854	-0.028	20.146
77	1.000	0.800	0.990	0.500	5.000	100.000	0.000	0.000	-21.889	35.351	-0.000	0.482	-0.015	27.272
78	1.000	0.800	0.990	0.900	5.000	100.000	0.000	0.000	-21.889	46.296	0.000	0.868	-0.015	27.330
79	1.000	0.800	0.980	0.500	5.000	100.000	0.000	0.000	-14.470	23.224	-0.000	0.474	-0.023	19.792
80	1.000	0.800	0.980	0.900	5.000	100.000	0.000	0.000	-14.470	30.459	0.000	0.853	-0.023	19.871
81	1.000	1.000	0.990	0.500	5.000	100.000	0.000	0.000	-24.626	36.692	-0.000	0.480	-0.019	27.514
82	1.000	1.000	0.990	0.900	5.000	100.000	0.000	0.000	-24.626	46.542	-0.000	0.865	-0.019	27.585
83	1.000	1.000	0.980	0.500	5.000	100.000	0.000	0.000	-16.279	24.092	-0.000	0.471	-0.028	19.972
84	1.000	1.000	0.980	0.900	5.000	100.000	0.000	0.000	-16.279	30.604	-0.000	0.848	-0.028	20.070
85	1.000	1.100	0.990	0.500	5.000	100.000	0.001	0.015	-26.185	37.456	-0.029	0.495	-0.020	27.541
86	1.000	1.100	0.990	0.900	5.000	100.000	0.006	0.018	-26.574	46.718	-0.037	0.868	-0.019	27.628
87	1.000	1.100	0.980	0.500	5.000	100.000	0.000	0.004	-17.128	24.500	-0.009	0.474	-0.030	19.999
88	1.000	1.100	0.980	0.900	5.000	100.000	0.000	0.005	-17.204	30.678	-0.011	0.847	-0.030	20.107
89	1.000	1.400	0.990	0.500	5.000	100.000	0.045	0.082	-30.760	39.698	-0.174	0.567	-0.017	27.670
90	1.000	1.400	0.990	0.900	5.000	100.000	0.200	0.101	-32.544	47.255	-0.207	0.886	-0.016	27.940
91	1.000	1.400	0.980	0.500	5.000	100.000	0.034	0.074	-20.191	25.970	-0.155	0.546	-0.026	20.064
92	1.000	1.400	0.980	0.900	5.000	100.000	0.137	0.090	-21.251	31.001	-0.186	0.865	-0.025	20.260
93	1.000	1.600	0.990	0.500	5.000	100.000	0.094	0.112	-32.946	40.769	-0.244	0.602	-0.016	27.798
94	1.000	1.600	0.990	0.900	5.000	100.000	0.403	0.136	-35.143	47.489	-0.284	0.894	-0.015	28.193
95	1.000	1.600	0.980	0.500	5.000	100.000	0.078	0.105	-21.659	26.675	-0.227	0.582	-0.024	20.130
96	1.000	1.600	0.980	0.900	5.000	100.000	0.297	0.126	-23.022	31.143	-0.265	0.873	-0.023	20.385
97	1.000	1.800	0.990	0.500	5.000	100.000	0.149	0.136	-34.682	41.620	-0.300	0.630	-0.015	27.942
98	1.000	1.800	0.990	0.900	5.000	100.000	0.626	0.163	-37.104	47.665	-0.344	0.901	-0.014	28.436
99	1.000	1.800	0.980	0.500	5.000	100.000	0.128	0.128	-22.826	27.235	-0.284	0.610	-0.023	20.205
100	1.000	1.800	0.980	0.900	5.000	100.000	0.475	0.152	-24.362	31.250	-0.328	0.880	-0.022	20.502
101	1.000	2.000	0.990	0.500	5.000	100.000	0.209	0.155	-36.091	42.310	-0.346	0.653	-0.014	28.095
102	1.000	2.000	0.990	0.900	5.000	100.000	0.857	0.183	-38.634	47.803	-0.392	0.906	-0.013	28.654
103	1.000	2.000	0.980	0.500	5.000	100.000	0.183	0.147	-23.774	27.690	-0.331	0.633	-0.022	20.284
104	1.000	2.000	0.980	0.900	5.000	100.000	0.659	0.172	-25.408	31.334	-0.379	0.885	-0.021	20.604
105	1.000	3.000	0.990	0.500	5.000	100.000	0.515	0.212	-40.418	44.430	-0.493	0.726	-0.011	28.827
106	1.000	3.000	0.990	0.900	5.000	100.000	1.951	0.238	-42.981	48.194	-0.544	0.921	-0.011	29.378
107	1.000	3.000	0.980	0.500	5.000	100.000	0.464	0.203	-26.689	29.089	-0.481	0.707	-0.018	20.667
108	1.000	3.000	0.980	0.900	5.000	100.000	1.513	0.222	-28.373	31.571	-0.538	0.899	-0.019	20.919
109	1.000	1.200	0.990	0.500	15.000	100.000	0.010	0.041	-27.930	38.312	-0.085	0.522	-0.019	27.573
110	1.000	1.200	0.990	0.900	15.000	100.000	0.046	0.051	-28.947	46.931	-0.104	0.875	-0.018	27.709
111	1.000	1.200	0.980	0.500	15.000	100.000	0.006	0.032	-18.295	25.060	-0.064	0.502	-0.029	20.015
112	1.000	1.200	0.980	0.900	15.000	100.000	0.023	0.039	-18.808	30.806	-0.079	0.854	-0.028	20.146
113	1.000	0.800	0.990	0.500	15.000	100.000	0.000	0.000	-21.889	35.351	-0.000	0.482	-0.015	27.272
